repo_name,target_path,migration_wave,action
acode-dev-master,archive/acode-dev-master,3,archive
acode-dev-tools,archive/acode-dev-tools,3,archive
Acode_Dev_Master,tools/acode-dev-master,2,migrate
ai-project-analyzer,tools/ai-project-analyzer,2,migrate
android-kit-os,archive/android-kit-os,3,archive
backup-before-autofix-20260821-185234,archive/backup-before-autofix,1,archive
backup-before-rename-20260821-090650,archive/backup-before-rename,1,archive
backups,archive/backups,1,archive
containers-pokus,archive/containers-pokus,3,archive
containers-template,infrastructure/containers-template,2,migrate
containers-templatemhv,archive/containers-templatemhv,3,archive
customubuntuserver,archive/customubuntuserver,3,archive
d1-rest,tools/d1-rest,2,migrate
digital-clock-timezones,archive/digital-clock-timezones,3,archive
Dokumenty,archive/Dokumenty,1,archive
genesis-aetema,archive/genesis-aetema,3,archive
genesis-aeterna,tools/genesis-aeterna,2,migrate
genesiscraft,archive/genesiscraft,3,archive
GITHUB-AUDIT-REPORT,archive/GITHUB-AUDIT-REPORT,1,archive
hernios,infrastructure/hernios,2,migrate
md-installer,infrastructure/md-installer,2,migrate
minimal-nas-web-edition,infrastructure/minimal-nas-web-edition,2,migrate
modules,infrastructure/modules,2,migrate
name,archive/name,3,archive
nymeakiosk-ultimate-system,rpi5/nymeakiosk-ultimate-system,1,migrate
octopuscli,tools/octopuscli,1,migrate
ollama,tools/ollama,1,migrate
OpenMediaVault,archive/OpenMediaVault,1,archive
platform,infrastructure/platform,2,migrate
powershell,infrastructure/powershell,2,migrate
prepare-proxmox-usb,infrastructure/prepare-proxmox-usb,1,migrate
projekt-genesis-2026,starcore/projekt-genesis-2026,1,migrate
raspberry-pi-5-multifunk-n-syst-my-a-automatizace,archive/raspberry-pi-5-multifunk,3,archive
recalbox-diag,rpi5/recalbox-diag,2,migrate
repo,archive/repo,3,archive
ripe-atlas-cousteau,infrastructure/ripe-atlas-cousteau,2,migrate
rpi-nymea,rpi5/rpi-nymea,2,migrate
rpi5-github-catalog,rpi5/rpi5-github-catalog,1,migrate
rpi5-homeassistant-suite,rpi5/rpi5-homeassistant-suite,1,migrate
rpi5-starkhost,rpi5/rpi5-starkhost,2,migrate
run-os-from-fyzdisk-on-win,infrastructure/run-os-from-fyzdisk-on-win,2,migrate
skripty,infrastructure/skripty,1,migrate
starcore,starcore/starcore,1,migrate
starcore-android,starcore/starcore-android,1,migrate
starcore-auto-builder-v3-0-live-dashboard,starcore/starcore-auto-builder,2,migrate
starcore-hive,starcore/starcore-hive,1,migrate
starcore-installer,starcore/starcore-installer,1,migrate
starcore-platform,starcore/starcore-platform,1,migrate
starcore-platform-backup,archive/starcore-platform-backup,1,archive
starcore-project-intelligence,starcore/starcore-project-intelligence,1,migrate
starcore-v12-ai-package,archive/starcore-v12-ai-package,3,archive
starcore-vnext,archive/starcore-vnext,3,archive
starcore-workspace,starcore/starcore-workspace,1,migrate
starko-os-kali,archive/starko-os-kali,3,archive
starko-rpi5-ai-workspace,rpi5/starko-rpi5-ai-workspace,1,migrate
starko-ultimate-recovery-usb,infrastructure/starko-ultimate-recovery-usb,1,migrate
starko-universal-pentest,archive/starko-universal-pentest,3,archive
starkorecovery,archive/starkorecovery,3,archive
sui,tools/sui,2,migrate
supernastroj,tools/supernastroj,2,migrate
supernastroj-v5,archive/supernastroj-v5,3,archive
telemetry,archive/telemetry,3,archive
terminal-mini-os,archive/terminal-mini-os,3,archive
termux-install,archive/termux-install,3,archive
tsx,tools/tsx,2,migrate
twisteros-supermanager,rpi5/twisteros-supermanager,2,migrate
ubuntu-gameserver,infrastructure/ubuntu-gameserver,2,migrate
ubuntu-server1,infrastructure/ubuntu-server1,2,migrate
ultimate-raspberry-pi-5-all-in-one-installer,rpi5/ultimate-raspberry-pi-5-all-in-one-installer,1,migrate
ultra,tools/ultra,3,migrate
ultraos,archive/ultraos,3,archive
universal-ai-codespace,tools/universal-ai-codespace,1,migrate
uwp,tools/uwp,3,migrate
vbbuildmanager,archive/vbbuildmanager,3,archive
vmconsole,archive/vmconsole,3,archive
VS-code,archive/VS-code,1,archive
vscode,archive/vscode,3,archive
winpe-recovery-dark-pro-edition,archive/winpe-recovery,3,archive
workspace,archive/workspace,3,archive
wsl,archive/wsl,3,archive
