repo_name,target_path,wave,status,timestamp
"nymeakiosk-ultimate-system","rpi5/nymeakiosk-ultimate-system","1","test_ok","2026-08-29 12:25:43"
"octopuscli","tools/octopuscli","1","test_ok","2026-08-29 12:28:06"
"ollama","tools/ollama","1","test_ok","2026-08-29 12:28:12"
"prepare-proxmox-usb","infrastructure/prepare-proxmox-usb","1","test_ok","2026-08-29 12:28:18"
"projekt-genesis-2026","starcore/projekt-genesis-2026","1","test_ok","2026-08-29 12:28:26"
"rpi5-github-catalog","rpi5/rpi5-github-catalog","1","test_ok","2026-08-29 12:28:38"
"rpi5-homeassistant-suite","rpi5/rpi5-homeassistant-suite","1","test_ok","2026-08-29 12:28:44"
"skripty","infrastructure/skripty","1","test_ok","2026-08-29 12:28:57"
"starcore","starcore/starcore","1","test_ok","2026-08-29 12:29:04"
"starcore-android","starcore/starcore-android","1","test_ok","2026-08-29 12:29:10"
"starcore-hive","starcore/starcore-hive","1","test_ok","2026-08-29 12:29:15"
"starcore-installer","starcore/starcore-installer","1","test_ok","2026-08-29 12:29:21"
"starcore-platform","starcore/starcore-platform","1","test_ok","2026-08-29 12:29:45"
"starcore-project-intelligence","starcore/starcore-project-intelligence","1","test_ok","2026-08-29 12:29:51"
"starcore-workspace","starcore/starcore-workspace","1","test_ok","2026-08-29 12:30:17"
"starko-rpi5-ai-workspace","rpi5/starko-rpi5-ai-workspace","1","test_ok","2026-08-29 12:30:24"
"starko-ultimate-recovery-usb","infrastructure/starko-ultimate-recovery-usb","1","test_ok","2026-08-29 12:30:31"
"ultimate-raspberry-pi-5-all-in-one-installer","rpi5/ultimate-raspberry-pi-5-all-in-one-installer","1","test_ok","2026-08-29 12:30:37"
"universal-ai-codespace","tools/universal-ai-codespace","1","test_ok","2026-08-29 12:30:42"
"nymeakiosk-ultimate-system","rpi5/nymeakiosk-ultimate-system","1","migrated","2026-08-29 12:31:04"
"octopuscli","tools/octopuscli","1","migrated","2026-08-29 12:34:04"
"ollama","tools/ollama","1","migrated","2026-08-29 12:34:16"
"prepare-proxmox-usb","infrastructure/prepare-proxmox-usb","1","migrated","2026-08-29 12:34:27"
"projekt-genesis-2026","starcore/projekt-genesis-2026","1","migrated","2026-08-29 12:34:41"
"rpi5-github-catalog","rpi5/rpi5-github-catalog","1","migrated","2026-08-29 12:34:57"
"rpi5-homeassistant-suite","rpi5/rpi5-homeassistant-suite","1","migrated","2026-08-29 12:35:09"
"skripty","infrastructure/skripty","1","migrated","2026-08-29 12:35:27"
"starcore","starcore/starcore","1","migrated","2026-08-29 12:35:38"
"starcore-android","starcore/starcore-android","1","migrated","2026-08-29 12:35:48"
"starcore-hive","starcore/starcore-hive","1","migrated","2026-08-29 12:36:00"
"starcore-installer","starcore/starcore-installer","1","migrated","2026-08-29 12:36:09"
"starcore-platform","starcore/starcore-platform","1","migrated","2026-08-29 12:37:04"
"starcore-project-intelligence","starcore/starcore-project-intelligence","1","migrated","2026-08-29 12:37:15"
"starcore-workspace","starcore/starcore-workspace","1","migrated","2026-08-29 12:37:47"
"starko-rpi5-ai-workspace","rpi5/starko-rpi5-ai-workspace","1","migrated","2026-08-29 12:37:59"
"starko-ultimate-recovery-usb","infrastructure/starko-ultimate-recovery-usb","1","migrated","2026-08-29 12:38:11"
"ultimate-raspberry-pi-5-all-in-one-installer","rpi5/ultimate-raspberry-pi-5-all-in-one-installer","1","migrated","2026-08-29 12:38:22"
"universal-ai-codespace","tools/universal-ai-codespace","1","migrated","2026-08-29 12:38:31"
