"repo_name","target_path","wave","status","timestamp"
"nymeakiosk-ultimate-system","rpi5/nymeakiosk-ultimate-system","1","migrated","2026-08-29 12:44:43"
"octopuscli","tools/octopuscli","1","migrated","2026-08-29 12:45:27"
"ollama","tools/ollama","1","migrated","2026-08-29 12:46:07"
"prepare-proxmox-usb","infrastructure/prepare-proxmox-usb","1","migrated","2026-08-29 12:46:26"
"projekt-genesis-2026","starcore/projekt-genesis-2026","1","migrated","2026-08-29 12:46:47"
"rpi5-github-catalog","rpi5/rpi5-github-catalog","1","migrated","2026-08-29 12:49:22"
"rpi5-homeassistant-suite","rpi5/rpi5-homeassistant-suite","1","migrated","2026-08-29 12:49:45"
"skripty","infrastructure/skripty","1","migrated","2026-08-29 12:50:29"
"starcore","starcore/starcore","1","migrated","2026-08-29 12:50:56"
"starcore-android","starcore/starcore-android","1","migrated","2026-08-29 12:51:17"
"starcore-hive","starcore/starcore-hive","1","migrated","2026-08-29 12:51:33"
"starcore-installer","starcore/starcore-installer","1","migrated","2026-08-29 12:51:49"
"starcore-platform","starcore/starcore-platform","1","migrated","2026-08-29 12:54:07"
"starcore-project-intelligence","starcore/starcore-project-intelligence","1","migrated","2026-08-29 12:54:27"
"starcore-workspace","starcore/starcore-workspace","1","migrated","2026-08-29 12:56:31"
"starko-rpi5-ai-workspace","rpi5/starko-rpi5-ai-workspace","1","migrated","2026-08-29 12:57:01"
"starko-ultimate-recovery-usb","infrastructure/starko-ultimate-recovery-usb","1","migrated","2026-08-29 12:57:32"
"ultimate-raspberry-pi-5-all-in-one-installer","rpi5/ultimate-raspberry-pi-5-all-in-one-installer","1","migrated","2026-08-29 12:57:51"
"universal-ai-codespace","tools/universal-ai-codespace","1","migrated","2026-08-29 12:58:07"
"Acode_Dev_Master","tools/acode-dev-master","2","migrated","2026-08-29 12:58:34"
"ai-project-analyzer","tools/ai-project-analyzer","2","migrated","2026-08-29 12:58:59"
"containers-template","infrastructure/containers-template","2","migrated","2026-08-29 12:59:17"
"d1-rest","tools/d1-rest","2","migrated","2026-08-29 12:59:35"
"genesis-aeterna","tools/genesis-aeterna","2","migrated","2026-08-29 12:59:52"
"hernios","infrastructure/hernios","2","migrated","2026-08-29 13:00:09"
"md-installer","infrastructure/md-installer","2","migrated","2026-08-29 13:00:27"
"minimal-nas-web-edition","infrastructure/minimal-nas-web-edition","2","migrated","2026-08-29 13:00:45"
"modules","infrastructure/modules","2","migrated","2026-08-29 13:01:02"
"platform","infrastructure/platform","2","migrated","2026-08-29 13:01:27"
"powershell","infrastructure/powershell","2","migrated","2026-08-29 13:01:44"
"recalbox-diag","rpi5/recalbox-diag","2","migrated","2026-08-29 13:02:02"
"ripe-atlas-cousteau","infrastructure/ripe-atlas-cousteau","2","migrated","2026-08-29 13:02:31"
"rpi-nymea","rpi5/rpi-nymea","2","migrated","2026-08-29 13:02:54"
"rpi5-starkhost","rpi5/rpi5-starkhost","2","migrated","2026-08-29 13:03:11"
"run-os-from-fyzdisk-on-win","infrastructure/run-os-from-fyzdisk-on-win","2","migrated","2026-08-29 13:03:29"
"starcore-auto-builder-v3-0-live-dashboard","starcore/starcore-auto-builder","2","migrated","2026-08-29 13:03:46"
"sui","tools/sui","2","migrated","2026-08-29 13:04:16"
"supernastroj","tools/supernastroj","2","migrated","2026-08-29 13:04:34"
"tsx","tools/tsx","2","migrated","2026-08-29 13:05:08"
"twisteros-supermanager","rpi5/twisteros-supermanager","2","migrated","2026-08-29 13:06:44"
"ubuntu-gameserver","infrastructure/ubuntu-gameserver","2","migrated","2026-08-29 13:07:07"
"ubuntu-server1","infrastructure/ubuntu-server1","2","migrated","2026-08-29 13:07:30"
"ultra","tools/ultra","3","migrated","2026-08-29 13:07:57"
"uwp","tools/uwp","3","migrated","2026-08-29 13:08:19"
