"ProjectName","TargetPath","Language","SizeKB","License","LastCommit","OpenIssues","HasActions","AnalysisFile"
"Acode_Dev_Master","tools/acode-dev-master","Shell","142","None","?","0","ne","PROJECT_ANALYSIS.md"
"ai-project-analyzer","tools/ai-project-analyzer","Python","15","NOASSERTION","?","0","ano","PROJECT_ANALYSIS.md"
"containers-template","infrastructure/containers-template","TypeScript","97","None","?","1","ano","PROJECT_ANALYSIS.md"
"d1-rest","tools/d1-rest","TypeScript","100","MIT","?","1","ano","PROJECT_ANALYSIS.md"
"genesis-aeterna","tools/genesis-aeterna","PowerShell","49","None","?","0","ano","PROJECT_ANALYSIS.md"
"hernios","infrastructure/hernios","Shell","4","None","?","0","ano","PROJECT_ANALYSIS.md"
"md-installer","infrastructure/md-installer","Shell","154","None","?","0","ano","PROJECT_ANALYSIS.md"
"minimal-nas-web-edition","infrastructure/minimal-nas-web-edition","Python","19","None","?","0","ne","PROJECT_ANALYSIS.md"
"modules","infrastructure/modules","PowerShell","19","None","?","0","ano","PROJECT_ANALYSIS.md"
"nymeakiosk-ultimate-system","rpi5/nymeakiosk-ultimate-system","Shell","158","MIT","2025-11-11T23:03:52Z","1","ano","PROJECT_ANALYSIS.md"
"octopuscli","tools/octopuscli","?","20189","NOASSERTION","?","1","ano","PROJECT_ANALYSIS.md"
"ollama","tools/ollama","PowerShell","27","None","2025-06-12T06:14:08Z","0","ne","PROJECT_ANALYSIS.md"
"platform","infrastructure/platform","Shell","184","None","?","0","ne","PROJECT_ANALYSIS.md"
"powershell","infrastructure/powershell","PowerShell","11","None","?","0","ano","PROJECT_ANALYSIS.md"
"prepare-proxmox-usb","infrastructure/prepare-proxmox-usb","Shell","57","None","2026-04-07T11:43:11Z","0","ne","PROJECT_ANALYSIS.md"
"projekt-genesis-2026","starcore/projekt-genesis-2026","Shell","204","None","2026-06-02T07:03:11Z","0","ne","PROJECT_ANALYSIS.md"
"recalbox-diag","rpi5/recalbox-diag","?","5","None","?","0","ano","PROJECT_ANALYSIS.md"
"ripe-atlas-cousteau","infrastructure/ripe-atlas-cousteau","?","323","GPL-3.0","?","0","ano","PROJECT_ANALYSIS.md"
"rpi-nymea","rpi5/rpi-nymea","Shell","79","None","?","0","ano","PROJECT_ANALYSIS.md"
"rpi5-github-catalog","rpi5/rpi5-github-catalog","Python","6790","None","2026-01-03T04:30:41Z","0","ne","PROJECT_ANALYSIS.md"
"rpi5-homeassistant-suite","rpi5/rpi5-homeassistant-suite","Shell","318","None","2025-12-11T16:50:48Z","0","ano","PROJECT_ANALYSIS.md"
"rpi5-starkhost","rpi5/rpi5-starkhost","Shell","5","None","?","0","ne","PROJECT_ANALYSIS.md"
"run-os-from-fyzdisk-on-win","infrastructure/run-os-from-fyzdisk-on-win","PowerShell","22","None","?","0","ano","PROJECT_ANALYSIS.md"
"skripty","infrastructure/skripty","Shell","8770","None","?","0","ne","PROJECT_ANALYSIS.md"
"starcore","starcore/starcore","Python","132","None","?","0","ano","PROJECT_ANALYSIS.md"
"starcore-android","starcore/starcore-android","PowerShell","92","None","?","0","ano","PROJECT_ANALYSIS.md"
"starcore-auto-builder-v3-0-live-dashboard","starcore/starcore-auto-builder","Shell","48","None","?","0","ne","PROJECT_ANALYSIS.md"
"starcore-hive","starcore/starcore-hive","?","56","None","2026-03-07T03:01:43Z","0","ne","PROJECT_ANALYSIS.md"
"starcore-installer","starcore/starcore-installer","Shell","1","None","?","0","ano","PROJECT_ANALYSIS.md"
"starcore-platform","starcore/starcore-platform","Python","18469","None","?","2","ano","PROJECT_ANALYSIS.md"
"starcore-project-intelligence","starcore/starcore-project-intelligence","?","103","None","?","0","ano","PROJECT_ANALYSIS.md"
"starcore-workspace","starcore/starcore-workspace","Shell","22106","None","?","0","ano","PROJECT_ANALYSIS.md"
"starko-rpi5-ai-workspace","rpi5/starko-rpi5-ai-workspace","Shell","259","None","?","1","ano","PROJECT_ANALYSIS.md"
"starko-ultimate-recovery-usb","infrastructure/starko-ultimate-recovery-usb","PowerShell","3232","None","2025-05-12T16:12:28Z","0","ne","PROJECT_ANALYSIS.md"
"sui","tools/sui","?","763","GPL-3.0","?","0","ne","PROJECT_ANALYSIS.md"
"supernastroj","tools/supernastroj","Shell","74","MIT","?","0","ne","PROJECT_ANALYSIS.md"
"tsx","tools/tsx","?","2334","MIT","?","0","ne","PROJECT_ANALYSIS.md"
"twisteros-supermanager","rpi5/twisteros-supermanager","Shell","1060","None","?","2","ano","PROJECT_ANALYSIS.md"
"ubuntu-gameserver","infrastructure/ubuntu-gameserver","Shell","94","None","?","0","ne","PROJECT_ANALYSIS.md"
"ubuntu-server1","infrastructure/ubuntu-server1","Shell","107","None","?","0","ne","PROJECT_ANALYSIS.md"
"ultimate-raspberry-pi-5-all-in-one-installer","rpi5/ultimate-raspberry-pi-5-all-in-one-installer","?","520","None","?","0","ne","PROJECT_ANALYSIS.md"
"ultra","tools/ultra","Shell","211","None","?","0","ne","PROJECT_ANALYSIS.md"
"universal-ai-codespace","tools/universal-ai-codespace","Shell","6","None","2025-12-11T15:47:03Z","0","ne","PROJECT_ANALYSIS.md"
"uwp","tools/uwp","Shell","162","None","?","0","ne","PROJECT_ANALYSIS.md"
