"Project","TargetPath","ScriptPath","ScriptType","Description"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\core\ai-review.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\core\analyze.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\core\improve.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\dashboard\app.py",".py","!/usr/bin/env python3"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\gui\flask_installer.py",".py","!/usr/bin/env python3"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\gui\plugin_manager.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\gui\whiptail_installer.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\gui\zenity_installer.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\plugins\android_helper\plugin.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\plugins\backup\plugin.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\plugins\ci\plugin.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\plugins\dashboard\plugin.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\plugins\lint\plugin.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acodai_install.sh",".sh","Skript acodai_install.sh"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_dev_install.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_dev_interactive.sh",".sh","!/data/data/com.termux/files/usr/bin/bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_dev_master_install.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_dev_repair_install.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_dev_ultimate_install.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acode_install_toolkit.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\acodeai_install.sh",".sh","Skript acodeai_install.sh"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\create_zip.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\install_acode_dev_full.sh",".sh","!/data/data/com.termux/files/usr/bin/bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\install_acode_dev.sh",".sh","!/usr/bin/env bash"
"Acode_Dev_Master","tools/acode-dev-master","tools\acode-dev-master\master_install.sh",".sh","!/usr/bin/env bash"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\plugins\deploy_script_generator.py",".py","deploy_script_generator.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\plugins\secret_detector_enhanced.py",".py","enhanced secret detector"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\plugins\static_analysis.py",".py","static_analysis.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\ai_brain.py",".py","ai_brain.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\analyzer.py",".py","!/usr/bin/env python3"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\memory.py",".py","memory.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\reconstructor.py",".py","reconstructor.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\structure_scanner.py",".py","structure_scanner.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\analyzer\utils.py",".py","utils.py"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\generator\generator.py",".py","!/usr/bin/env python3"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\src\webui\app.py",".py","(this file is already provided as webui/app.py in install script and earlier)"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\utils\git_autocommit.py",".py","!/usr/bin/env python3"
"ai-project-analyzer","tools/ai-project-analyzer","tools\ai-project-analyzer\install_universal_ai_analyzer.sh",".sh","!/usr/bin/env bash"
"containers-template","infrastructure/containers-template","infrastructure\containers-template\src\index.ts",".ts","Port the container listens on (default: 8080)"
"containers-template","infrastructure/containers-template","infrastructure\containers-template\worker-configuration.d.ts",".ts","* eslint-disable */"
"d1-rest","tools/d1-rest","tools\d1-rest\src\index.ts",".ts","Skript index.ts"
"d1-rest","tools/d1-rest","tools\d1-rest\src\rest.ts",".ts","**"
"d1-rest","tools/d1-rest","tools\d1-rest\worker-configuration.d.ts",".ts","* eslint-disable */"
"genesis-aeterna","tools/genesis-aeterna","tools\genesis-aeterna\GemManager_Pro_Orchestrator.ps1",".ps1","Skript GemManager_Pro_Orchestrator.ps1"
"genesis-aeterna","tools/genesis-aeterna","tools\genesis-aeterna\GemManager_Pro.sh",".sh","!/bin/bash"
"genesis-aeterna","tools/genesis-aeterna","tools\genesis-aeterna\genesis_extractor.py",".py","--- KONFIGURACE DAT ---"
"genesis-aeterna","tools/genesis-aeterna","tools\genesis-aeterna\genesis_universal_init.sh",".sh","!/bin/bash"
"hernios","infrastructure/hernios","infrastructure\hernios\skripty\create-launcher.sh",".sh","!/bin/bash"
"hernios","infrastructure/hernios","infrastructure\hernios\skripty\check-bios.sh",".sh","!/bin/bash"
"hernios","infrastructure/hernios","infrastructure\hernios\skripty\rom-import.sh",".sh","!/bin/bash"
"hernios","infrastructure/hernios","infrastructure\hernios\Starkos full install.sh",".sh","!/bin/bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\scripts\fix_structure.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\scripts\install.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\plugins\official\system_monitor\system_monitor.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\plugins\example.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\plugins\plugin_api.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\plugins\plugin_manager.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\scripts\setup.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\web_gui\public\app.js",".js","Skript app.js"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\web_gui\install_web_gui.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\web_gui\integrate_web_gui.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\web_gui\server.js",".js","Skript server.js"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\backup.sh",".sh","!/usr/bin/env bash"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\cleanup.sh",".sh","Skript cleanup.sh"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\diagnostics.sh",".sh","Skript diagnostics.sh"
"md-installer","infrastructure/md-installer","infrastructure\md-installer\version_manager\fzf_theme.sh",".sh","!/usr/bin/env bash"
