"Count","Name"
"28768",".svg"
"17097",".py"
"10960",".pyc"
"10776",".pyi"
"4889",""
"2168",".dat"
"1410",".json"
"1031",".gz"
"782",".sh"
"687",".txt"
"611",".js"
"520",".md"
"417",".toml"
"383",".conf"
"311",".html"
"271",".typed"
"163",".pem"
"155",".0"
"127",".sql"
"126",".exe"
"123",".yaml"
"112",".sample"
"110",".pyd"
"96",".service"
"91",".h"
"82",".yml"
"65",".ps1"
"64",".mo"
"61",".f90"
"61",".png"
"56",".ts"
"53",".so"
"50",".csv"
"47",".pyx"
"43",".pxd"
"34",".css"
"31",".cpp"
"29",".woff2"
"29",".inc"
"28",".rst"
"26",".mako"
"26",".hpp"
"24",".f"
"22",".eslintrc"
"22",".timer"
"22",".bat"
"21",".cmd"
"21",".map"
"19",".cfg"
"18",".xsd"
"17",".target"
"16",".nycrc"
"16",".c"
"15",".socket"
"15",".log"
"14",".woff"
"14",".htm"
"13",".gitignore"
"12",".lua"
"12",".ini"
"12",".jsonl"
"10",".ico"
"10",".ttf"
"10",".proto"
"10",".asc"
"9",".whl"
"9",".npmignore"
"9",".gif"
"9",".dll"
"9",".cab"
"9",".profile"
"9",".php"
"8",".APACHE"
"8",".pth"
"8",".hash"
"8",".BSD"
"7",".lock"
"7",".placeholder"
"7",".pyf"
"7",".zip"
"7",".backup"
"7",".editorconfig"
"6",".LICENSE"
"6",".jpg"
"6",".jpeg"
"6",".csh"
"6",".bak"
"6",".gpg"
"5",".local"
"5",".fish"
"5",".npy"
"5",".sources"
"5",".bmp"
"5",".asp"
"5",".pys"
"5",".reg"
"5",".pub"
"5",".TAG"
"4",".asm"
"4",".keyring"
"4",".rev"
"4",".nu"
"4",".rc"
"4",".idx"
"4",".ABOUT"
"4",".msi"
"4",".pack"
"4",".obj"
"4",".rules"
"4",".tab"
"4",".key"
"3",".markdown-it"
"3",".prisma"
"3",".cf"
"3",".pxi"
"3",".build"
"3",".markdown"
"3",".MIT"
"3",".gitattributes"
"3",".pdf"
"3",".vbs"
"3",".APACHE2"
"3",".keep"
"3",".types"
"3",".lib"
"3",".1"
"2",".code-workspace"
"2",".xsh"
"2",".unicode"
"2",".13"
"2",".cache"
"2",".xml"
"2",".2"
"2",".20260624164800"
"2",".xz"
"2",".PSF"
"2",".tsx"
"2",".scss"
"2",".bin"
"2",".bashrc"
"2",".a"
"2",".tcpdump"
"2",".pyw"
"2",".R"
"2",".alias"
"2",".swtpm"
"2",".renv"
"2",".rockspec"
"2",".rs"
"2",".ucf-dist"
"2",".PL"
"2",".man"
"2",".dhclient"
"2",".example"
"2",".chronyd"
"2",".f2py_f2cmap"
"2",".mjs"
"2",".eot"
"2",".db"
"2",".mod"
"2",".chm"
"2",".npz"
"2",".nupkg"
"2",".lxc-start"
"2",".options"
"2",".dockerignore"
"2",".gemspec"
"2",".go"
"2",".list"
"1",".template"
"1",".3-x86_64-linux-gnu"
"1",".sysctl"
"1",".4-outoftree-network"
"1",".tsv"
"1",".ioconf"
"1",".init"
"1",".tar"
"1",".tmpl"
"1",".tiny"
"1",".emu"
"1",".env"
"1",".4-vanilla"
"1",".idl"
"1",".v4"
"1",".htpasswd"
"1",". editorconfig"
"1",".gen"
"1",".gitkeep"
"1",".xsl"
"1",".graph"
"1",".xaml"
"1",".worktree"
"1",".fits"
"1",".f95"
"1",".20260625143613"
"1",".webp"
"1",".wav"
"1",".vmlist"
"1",".version"
"1",".v6"
"1",".iscsi"
"1",".updated"
"1",".20260625151042"
"1",".allow"
"1",".config"
"1",".srl"
"1",".qemu"
"1",".bash"
"1",".mime"
"1",".bash_logout"
"1",".blacklist"
"1",".mtimes"
"1",".net"
"1",".crt"
"1",".members"
"1",".git"
"1",".cc"
"1",".prompt"
"1",".clusterlog"
"1",".org"
"1",".cnf"
"1",".override"
"1",".pc"
"1",".pkl"
"1",".old"
"1",".stark-ready"
"1",".debug"
"1",".zi"
"1",".jshintrc"
"1",".cron"
"1",".keys"
"1",".slice"
"1",".sh,"
"1",".avif"
"1",".sct"
"1",".desktop"
"1",".default"
"1",".scale"
"1",".deny"
"1",".running-config"
"1",".run"
"1",".deleteme"
"1",".bak_20260623_220118"
"1",".lxc-copy"
"1",".rrd"
"1",".defs"
"1",".sbin"
"1",".psm1"
