"Repository","RepositoryPath","Branch","Commit","Upstream"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","main","dde1832931a1c670f94c8b2fbcc6ee8de0b54dbc","origin/main"
"Genesis Aeterna","E:\GIT\Genesis Aeterna","master","52848c2136a4df8a96e90a02b0b103314d06d189",""
"MD_installer","E:\GIT\MD_installer","main","16b2d73c072c0627d404218795194dc65d15e721","origin/main"
"rpi5-homeassistant-suite","E:\GIT\rpi5-homeassistant-suite","main","b6e80f02a0350bed469cc38a0af856ac8a31c8a4","origin/main"
"starcore-platform","E:\GIT\starcore-platform","chore/add-launch-config","297af9469324ad97b9d91650a1b481e05e1bc2f0","origin/chore/add-launch-config"
"starcore-platform","E:\GIT\starcore-platform","claude/starcore-autonomous-engineering-249437","b544d08d3da425cba637900cfdeac3a7c2a4dc28","origin/claude/starcore-autonomous-engineering-249437"
"starcore-platform","E:\GIT\starcore-platform","dependabot/github_actions/docker/login-action-4","0186ac1d9a0d74972dd95df38834651dd4c6fa10","origin/dependabot/github_actions/docker/login-action-4"
"starcore-platform","E:\GIT\starcore-platform","docs/ai-audit-report","e02cda8dc5cecbbbff62ae685145e0bd47678d39","origin/docs/ai-audit-report"
"starcore-platform","E:\GIT\starcore-platform","main","6c70286017211c9cd6bdba34480203ee211ba386","origin/main"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","chore/add-launch-config","297af9469324ad97b9d91650a1b481e05e1bc2f0","origin/chore/add-launch-config"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","claude/starcore-autonomous-engineering-249437","b544d08d3da425cba637900cfdeac3a7c2a4dc28","origin/claude/starcore-autonomous-engineering-249437"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","dependabot/github_actions/docker/login-action-4","0186ac1d9a0d74972dd95df38834651dd4c6fa10","origin/dependabot/github_actions/docker/login-action-4"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","docs/ai-audit-report","e02cda8dc5cecbbbff62ae685145e0bd47678d39","origin/docs/ai-audit-report"
"starcore-autonomous-engineering-249437","E:\GIT\starcore-platform\.claude\worktrees\starcore-autonomous-engineering-249437","main","6c70286017211c9cd6bdba34480203ee211ba386","origin/main"
"SuperNastroj_v5","E:\GIT\SuperNastroj_v5","main","049ab782ffb2e01c3c3ab192f755613904e6022f","origin/main"
"universal-ai-codespace","E:\GIT\universal-ai-codespace","main","d9389ce74f7a7d3ef58e13e7a1ecf0873bb04e52","origin/main"
"twisteros_supermanager","E:\GIT\VScode\RPI5\twisteros_supermanager","main","cf6734465f1699fb37edd82f23da5453be99097b","origin/main"
