"Repository","RepositoryPath","RelativePath","Extension","SizeBytes","LastWriteTime"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER",".gitattributes",".gitattributes","36","10.11.2025 8:57:46"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER",".gitignore",".gitignore","151","10.11.2025 8:57:08"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","docker-compose.yml",".yml","530","10.11.2025 8:59:10"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","install_universal_ai_analyzer.sh",".sh","8317","10.11.2025 9:03:38"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","LICENSE","[none]","4","10.11.2025 8:55:42"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","README.md",".md","1976","10.11.2025 8:37:38"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","requirements.txt",".txt","225","10.11.2025 8:58:22"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER",".github\workflows\build.yml",".yml","837","10.11.2025 9:02:28"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","plugins\deploy_script_generator.py",".py","1032","10.11.2025 10:01:56"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","plugins\secret_detector_enhanced.py",".py","1488","10.11.2025 10:00:56"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","plugins\static_analysis.py",".py","1375","10.11.2025 10:01:28"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\ai_brain.py",".py","541","10.11.2025 9:06:36"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\analyzer.py",".py","5432","10.11.2025 9:54:54"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\memory.py",".py","112","10.11.2025 9:08:30"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\reconstructor.py",".py","351","10.11.2025 9:07:22"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\structure_scanner.py",".py","464","10.11.2025 9:05:54"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\analyzer\utils.py",".py","158","10.11.2025 9:08:54"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\generator\generator.py",".py","4968","10.11.2025 9:58:12"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","src\webui\app.py",".py","80","10.11.2025 9:09:50"
"AI-PROJECT-ANALYZER","E:\GIT\AI-PROJECT-ANALYZER","utils\git_autocommit.py",".py","2264","10.11.2025 10:02:56"
"Genesis Aeterna","E:\GIT\Genesis Aeterna","00_GLOBAL_MANIFEST.md",".md","302","18.04.2026 0:01:48"
"Genesis Aeterna","E:\GIT\Genesis Aeterna","Docker Orchestrace.md",".md","833","18.04.2026 0:03:06"
"Genesis Aeterna","E:\GIT\Genesis Aeterna","FINAL_REPORT_GENESIS_V95.md",".md","1143","18.04.2026 0:06:32"
"Genesis Aeterna","E:\GIT\Genesis Aeterna","FULL_EVOLUTION_PLAN_V2.md",".md","1299","18.04.2026 0:02:22"
